id,t,d,wc_exp,bc_exp,edu,lnwage
46,8,3,0,0,17,
46,9,3,0,0,18,
46,10,1,1,0,18,11.213031
46,11,1,2,0,18,11.469942
47,1,3,0,0,9,
47,2,3,0,0,10,
47,3,3,0,0,11,
47,4,2,0,1,11,9.7402039
47,5,2,0,2,11,9.7145042
47,6,2,0,3,11,9.4341145
47,7,2,0,4,11,
47,8,2,0,5,11,
47,9,2,0,6,11,9.0957375
47,10,2,0,7,11,
47,11,2,0,8,11,9.7466936
48,1,3,0,0,10,
48,2,3,0,0,11,
48,3,3,0,0,12,
48,4,3,0,0,13,
48,5,3,0,0,14,
48,6,1,1,0,14,
48,7,1,2,0,14,11.081773
48,8,1,3,0,14,11.052476
48,9,1,4,0,14,10.879838
48,10,3,4,0,15,
48,11,1,5,0,15,
49,1,3,0,0,10,
49,2,3,0,0,11,
49,3,2,0,1,11,6.7444715
49,4,2,0,2,11,9.7145042
49,5,1,1,2,11,9.6954784
49,6,1,2,2,11,9.6253595
49,7,1,3,2,11,10.268929
49,8,1,4,2,11,10.522854
49,9,1,5,2,11,10.206507
49,10,1,6,2,11,10.817135
49,11,1,7,2,11,10.637033
50,1,3,0,0,11,
50,2,2,0,1,11,
50,3,2,0,2,11,
50,4,2,0,3,11,9.6954784
50,5,2,0,4,11,
50,6,2,0,5,11,9.9635477
50,7,1,1,5,11,10.562075
50,8,1,2,5,11,10.206507
50,9,1,3,5,11,10.480662
50,10,1,4,5,11,10.231567
50,11,2,4,6,11,10.355136
51,1,3,0,0,11,
51,2,3,0,0,12,
51,3,3,0,0,13,
51,4,3,0,0,14,
51,5,3,0,0,15,
51,6,3,0,0,16,
51,7,1,1,0,16,9.6954784
51,8,1,2,0,16,10.359329
51,9,1,3,0,16,11.06216
51,10,1,4,0,16,11.216001
51,11,1,5,0,16,11.112215
52,1,3,0,0,10,
52,2,3,0,0,11,
52,3,3,0,0,12,
52,4,3,0,0,13,
52,5,3,0,0,14,
52,6,3,0,0,15,
52,7,3,0,0,16,
52,8,3,0,0,17,
52,9,3,0,0,18,
52,10,3,0,0,19,
52,11,1,1,0,19,10.843922
53,1,3,0,0,10,
53,2,3,0,0,11,
53,3,3,0,0,12,
53,4,3,0,0,13,
53,5,3,0,0,14,
53,6,3,0,0,15,
53,7,3,0,0,16,
53,8,1,1,0,16,10.320222
53,9,1,2,0,16,10.522854
53,10,1,3,0,16,11.023268
53,11,1,4,0,16,10.52046
54,1,3,0,0,10,
54,2,3,0,0,11,
54,3,2,0,1,11,9.7515593
54,4,2,0,2,11,10.837481
54,5,2,0,3,11,10.707756
54,6,2,0,4,11,10.948242
54,7,4,0,4,11,
54,8,4,0,4,11,
54,9,4,0,4,11,
54,10,4,0,4,11,
54,11,4,0,4,11,
55,1,3,0,0,9,
55,2,3,0,0,10,
55,3,4,0,0,10,
55,4,2,0,1,10,
55,5,3,0,1,11,
55,6,3,0,1,12,
55,7,3,0,1,13,
55,8,1,1,1,13,
55,9,1,2,1,13,8.6483622
55,10,1,3,1,13,9.6596823
55,11,1,4,1,13,10.008424
56,1,3,0,0,10,
56,2,2,0,1,10,7.4376187
56,3,3,0,1,11,
56,4,2,0,2,11,
56,5,2,0,3,11,
56,6,2,0,4,11,9.8093967
56,7,2,0,5,11,10.705175
56,8,2,0,6,11,10.663265
56,9,2,0,7,11,10.629083
56,10,2,0,8,11,10.637033
56,11,2,0,9,11,10.620839
57,1,3,0,0,9,
57,2,3,0,0,10,
57,3,2,0,1,10,8.2057648
57,4,2,0,2,10,7.2624602
57,5,1,1,2,10,
57,6,1,2,2,10,
57,7,2,2,3,10,
57,8,2,2,4,10,
57,9,2,2,5,10,6.4473057
57,10,2,2,6,10,9.2704
57,11,3,2,6,11,
58,1,3,0,0,11,
58,2,3,0,0,12,
58,3,3,0,0,13,
58,4,3,0,0,14,
58,5,2,0,1,14,10.407651
58,6,3,0,1,15,
58,7,3,0,1,16,
58,8,2,0,2,16,10.543365
58,9,2,0,3,16,10.671273
58,10,1,1,3,16,10.480944
58,11,3,1,3,17,
59,1,3,0,0,10,
59,2,3,0,0,11,
59,3,3,0,0,12,
59,4,3,0,0,13,
59,5,3,0,0,14,
59,6,3,0,0,15,
59,7,2,0,1,15,
59,8,2,0,2,15,9.2704
59,9,1,1,2,15,9.7018728
59,10,3,1,2,16,
59,11,3,1,2,17,
60,1,3,0,0,10,
60,2,3,0,0,11,
60,3,2,0,1,11,
60,4,2,0,2,11,
60,5,2,0,3,11,10.165483
60,6,2,0,4,11,
60,7,2,0,5,11,10.459984
60,8,2,0,6,11,10.137191
60,9,2,0,7,11,10.520164
60,10,2,0,8,11,10.593991
60,11,1,1,8,11,10.637033
61,1,3,0,0,10,
61,2,3,0,0,11,
61,3,3,0,0,12,
61,4,2,0,1,12,
61,5,2,0,2,12,8.4622087
61,6,3,0,2,13,
61,7,1,1,2,13,10.705175
61,8,2,1,3,13,11.112215
61,9,2,1,4,13,10.872705
61,10,2,1,5,13,11.147859
61,11,2,1,6,13,
62,1,3,0,0,10,
62,2,2,0,1,10,
62,3,2,0,2,10,8.7573071
62,4,4,0,2,10,
62,5,3,0,2,11,
62,6,3,0,2,12,
62,7,3,0,2,13,
62,8,1,1,2,13,
62,9,1,2,2,13,9.2498884
62,10,1,3,2,13,10.440122
62,11,4,3,2,13,
63,1,3,0,0,10,
63,2,4,0,0,10,
63,3,4,0,0,10,
63,4,1,1,0,10,
63,5,1,2,0,10,9.2293777
63,6,1,3,0,10,
63,7,1,4,0,10,9.1846533
63,8,1,5,0,10,
63,9,2,5,1,10,9.1162491
63,10,2,5,2,10,6.3876872
63,11,2,5,3,10,
64,1,3,0,0,10,
64,2,3,0,0,11,
64,3,2,0,1,11,9.6526833
64,4,2,0,2,11,8.8718977
64,5,3,0,2,12,
64,6,2,0,3,12,8.536231
64,7,3,0,3,13,
64,8,3,0,3,14,
64,9,3,0,3,15,
64,10,3,0,3,16,
64,11,4,0,3,16,
65,1,3,0,0,9,
65,2,3,0,0,10,
65,3,3,0,0,11,
65,4,3,0,0,12,
65,5,3,0,0,13,
65,6,3,0,0,14,
65,7,3,0,0,15,
65,8,1,1,0,15,6.6704493
65,9,1,2,0,15,7.3244901
